Unnamed: 0,prompt,completion,predicted_result,NRMSE
0,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '37' ) and    Fuel_Price between 2 and 4  ,507525.0,703,12073366.866459245
1,select avg(Weekly_Sales) from Walmart where Store in ( '15' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,662206.0,566892987656022,12073366.866459245
2,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '19' ) and    Fuel_Price between 2 and 3  ,1564001.0,1453008390694,12073366.866459245
3,select avg(Weekly_Sales) from Walmart where Store in ( '2' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,2096524.0,2,12073366.866459245
4,select avg(Weekly_Sales) from Walmart where Store in ( '41' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1279200.0,2,12073366.866459245
5,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '30' ) and    Fuel_Price between 2 and 3  ,453225.0,707987056969248,12073366.866459245
6,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '25' ) and    Fuel_Price between 3 and 4  ,769699.0,1504948581,12073366.866459245
7,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '5' ) and    Fuel_Price between 2 and 3  ,351225.0,383175175968,12073366.866459245
8,select avg(Weekly_Sales) from Walmart where Store in ( '25' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 3  ,718056.0,699,12073366.866459245
9,select avg(Weekly_Sales) from Walmart where Store in ( '8' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,909623.0,912,12073366.866459245
10,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '42' ) and    Fuel_Price between 2 and 3  ,529106.0,1186892024,12073366.866459245
11,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '30' ) and    Fuel_Price between 2 and 3  ,453907.0,552,12073366.866459245
12,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '27' ) and    Fuel_Price between 2 and 4  ,1898004.0,1315225308867,12073366.866459245
13,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '17' ) and    Fuel_Price between 2 and 4  ,887099.0,1027259324892,12073366.866459245
14,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '37' ) and    Fuel_Price between 2 and 3  ,513652.0,953,12073366.866459245
15,select avg(Weekly_Sales) from Walmart where Store in ( '33' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,255649.0,305,12073366.866459245
16,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '27' ) and    Fuel_Price between 2 and 3  ,1829428.0,1976984968243,12073366.866459245
17,select avg(Weekly_Sales) from Walmart where Store in ( '19' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1447596.0,1493970599181,12073366.866459245
18,select avg(Weekly_Sales) from Walmart where Store in ( '21' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,810500.0,1142892035559,12073366.866459245
19,select avg(Weekly_Sales) from Walmart where Store in ( '45' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 3  ,723987.0,846,12073366.866459245
20,select avg(Weekly_Sales) from Walmart where Store in ( '33' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,274024.0,363042263477,12073366.866459245
21,select avg(Weekly_Sales) from Walmart where Store in ( '42' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,556390.0,682,12073366.866459245
22,select avg(Weekly_Sales) from Walmart where Store in ( '8' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,909623.0,1279777736892,12073366.866459245
23,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '27' ) and    Fuel_Price between 2 and 3  ,1829428.0,1185682059,12073366.866459245
24,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '26' ) and    Fuel_Price between 2 and 3  ,982824.0,1027302198022,12073366.866459245
25,select avg(Weekly_Sales) from Walmart where Store in ( '39' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1353584.0,2,12073366.866459245
26,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '40' ) and    Fuel_Price between 3 and 4  ,973777.0,1976324978055,12073366.866459245
27,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '14' ) and    Fuel_Price between 3 and 4  ,1965337.0,1444891028,12073366.866459245
28,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '11' ) and    Fuel_Price between 3 and 4  ,1350734.0,1914428945410,12073366.866459245
29,select avg(Weekly_Sales) from Walmart where Store in ( '29' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,510481.0,314519914059,12073366.866459245
30,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '13' ) and    Fuel_Price between 3 and 4  ,2147611.0,1953867892026,12073366.866459245
31,select avg(Weekly_Sales) from Walmart where Store in ( '28' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1469222.0,2,12073366.866459245
32,select avg(Weekly_Sales) from Walmart where Store in ( '5' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 4  ,314892.0,571453425201,12073366.866459245
33,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '39' ) and    Fuel_Price between 2 and 3  ,1481315.0,2,12073366.866459245
34,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '3' ) and    Fuel_Price between 2 and 4  ,437811.0,1028969218956,12073366.866459245
35,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '3' ) and    Fuel_Price between 2 and 3  ,387702.0,2,12073366.866459245
36,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '10' ) and    Fuel_Price between 2 and 3  ,1914917.0,2,12073366.866459245
37,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '21' ) and    Fuel_Price between 3 and 4  ,741251.0,1027212198444,12073366.866459245
38,select avg(Weekly_Sales) from Walmart where Store in ( '8' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,965376.0,1028914196,12073366.866459245
39,select avg(Weekly_Sales) from Walmart where Store in ( '4' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 4  ,2083555.0,1279300948424,12073366.866459245
40,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '41' ) and    Fuel_Price between 2 and 3  ,1279200.0,1618065953504,12073366.866459245
41,select avg(Weekly_Sales) from Walmart where Store in ( '14' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1947993.0,2,12073366.866459245
42,select avg(Weekly_Sales) from Walmart where Store in ( '7' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,683227.0,505,12073366.866459245
43,select avg(Weekly_Sales) from Walmart where Store in ( '36' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 4  ,373953.0,552,12073366.866459245
44,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '22' ) and    Fuel_Price between 2 and 3  ,973372.0,1493947056,12073366.866459245
45,select avg(Weekly_Sales) from Walmart where Store in ( '23' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1414969.0,2,12073366.866459245
46,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '24' ) and    Fuel_Price between 3 and 4  ,1356044.0,1447729721,12073366.866459245
47,select avg(Weekly_Sales) from Walmart where Store in ( '22' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1035196.0,1279807941874,12073366.866459245
48,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '35' ) and    Fuel_Price between 2 and 3  ,1063046.0,2,12073366.866459245
49,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '8' ) and    Fuel_Price between 2 and 3  ,965376.0,1524978759315,12073366.866459245
50,select avg(Weekly_Sales) from Walmart where Store in ( '45' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 3  ,723987.0,765029,12073366.866459245
51,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '2' ) and    Fuel_Price between 2 and 4  ,2079266.0,1046458031324,12073366.866459245
52,select avg(Weekly_Sales) from Walmart where Store in ( '18' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1062979.0,1447260361175,12073366.866459245
53,select avg(Weekly_Sales) from Walmart where Store in ( '10' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1914917.0,2,12073366.866459245
54,select avg(Weekly_Sales) from Walmart where Store in ( '17' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1018969.0,1019892895201,12073366.866459245
55,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '19' ) and    Fuel_Price between 2 and 4  ,1449109.0,1263424044995,12073366.866459245
56,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '30' ) and    Fuel_Price between 3 and 4  ,430402.0,628,12073366.866459245
57,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '2' ) and    Fuel_Price between 2 and 3  ,1964326.0,2,12073366.866459245
58,select avg(Weekly_Sales) from Walmart where Store in ( '16' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,518446.0,626,12073366.866459245
59,select avg(Weekly_Sales) from Walmart where Store in ( '25' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,769699.0,699,12073366.866459245
60,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '4' ) and    Fuel_Price between 3 and 4  ,2298759.0,1536511963031,12073366.866459245
61,select avg(Weekly_Sales) from Walmart where Store in ( '19' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 4  ,1585932.0,1849406113055,12073366.866459245
62,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '18' ) and    Fuel_Price between 3 and 4  ,1062979.0,1105350734248,12073366.866459245
63,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '45' ) and    Fuel_Price between 3 and 3  ,723987.0,658,12073366.866459245
64,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '35' ) and    Fuel_Price between 3 and 4  ,845829.0,1976349098964,12073366.866459245
65,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '0' ) and Store in ( '9' ) and    Fuel_Price between 3 and 4  ,552815.0,723892035058736,12073366.866459245
66,select avg(Weekly_Sales) from Walmart where Store in ( '34' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 2 and 3  ,1034609.0,1019819025225,12073366.866459245
67,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '13' ) and    Fuel_Price between 2 and 3  ,2061192.0,2,12073366.866459245
68,select avg(Weekly_Sales) from Walmart where Store in ( '24' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 3 and 4  ,1356044.0,2,12073366.866459245
69,select avg(Weekly_Sales) from Walmart where Store in ( '12' ) and Holiday_Flag in ( '1' ) and    Fuel_Price between 3 and 4  ,1163549.0,2,12073366.866459245
70,select avg(Weekly_Sales) from Walmart where Holiday_Flag in ( '1' ) and Store in ( '9' ) and    Fuel_Price between 2 and 3  ,566338.0,529,12073366.866459245
71,select avg(Weekly_Sales) from Walmart where Store in ( '38' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,348175.0,348326082324892,12073366.866459245
72,select avg(Weekly_Sales) from Walmart where Store in ( '32' ) and Holiday_Flag in ( '0' ) and    Fuel_Price between 2 and 3  ,1140459.0,1582867968963,12073366.866459245
