,prompt,completion,predicted_result,NRMSE
0,select avg(balance) from bank where education in ( 'primary' ) and job in ( 'unknown' ) and    age between 33 and 91  ,600.0,1467,0.08352013331557934
1,select avg(balance) from bank where loan in ( 'no' ) and job in ( 'retired' ) and    age between 44 and 84  ,2540.0,1311,0.08352013331557934
2,select avg(balance) from bank where loan in ( 'no' ) and job in ( 'entrepreneur' ) and    age between 77 and 86  ,0.0,1779,0.08352013331557934
3,select avg(balance) from bank where job in ( 'management' ) and loan in ( 'no' ) and    age between 32 and 76  ,1872.0,1129,0.08352013331557934
4,select avg(balance) from bank where job in ( 'self-employed' ) and loan in ( 'yes' ) and    age between 26 and 84  ,576.0,2341,0.08352013331557934
5,select avg(balance) from bank where job in ( 'student' ) and loan in ( 'no' ) and    age between 19 and 42  ,1534.0,2527,0.08352013331557934
6,select avg(balance) from bank where job in ( 'unknown' ) and education in ( 'unknown' ) and    age between 62 and 90  ,1936.0,2140,0.08352013331557934
7,select avg(balance) from bank where loan in ( 'yes' ) and job in ( 'blue-collar' ) and    age between 31 and 86  ,744.0,2188,0.08352013331557934
8,select avg(balance) from bank where education in ( 'primary' ) and job in ( 'services' ) and    age between 21 and 79  ,1382.0,2503,0.08352013331557934
9,select avg(balance) from bank where education in ( 'tertiary' ) and loan in ( 'no' ) and    age between 34 and 65  ,1982.0,1629,0.08352013331557934
10,select avg(balance) from bank where education in ( 'primary' ) and loan in ( 'no' ) and    age between 31 and 42  ,1335.0,1444,0.08352013331557934
11,select avg(balance) from bank where job in ( 'unemployed' ) and loan in ( 'no' ) and    age between 30 and 47  ,1414.0,1611,0.08352013331557934
12,select avg(balance) from bank where loan in ( 'yes' ) and job in ( 'admin.' ) and    age between 22 and 48  ,638.0,2073,0.08352013331557934
13,select avg(balance) from bank where job in ( 'services' ) and education in ( 'secondary' ) and    age between 39 and 74  ,1073.0,2147,0.08352013331557934
14,select avg(balance) from bank where job in ( 'management' ) and education in ( 'tertiary' ) and    age between 26 and 86  ,1837.0,1760,0.08352013331557934
15,select avg(balance) from bank where job in ( 'retired' ) and loan in ( 'no' ) and    age between 25 and 75  ,2227.0,1127,0.08352013331557934
16,select avg(balance) from bank where education in ( 'tertiary' ) and job in ( 'housemaid' ) and    age between 34 and 60  ,2640.0,2128,0.08352013331557934
17,select avg(balance) from bank where education in ( 'secondary' ) and job in ( 'services' ) and    age between 35 and 93  ,1176.0,1119,0.08352013331557934
18,select avg(balance) from bank where education in ( 'secondary' ) and job in ( 'management' ) and    age between 35 and 93  ,1486.0,1555,0.08352013331557934
19,select avg(balance) from bank where education in ( 'unknown' ) and job in ( 'retired' ) and    age between 40 and 88  ,1766.0,3714,0.08352013331557934
20,select avg(balance) from bank where job in ( 'services' ) and loan in ( 'yes' ) and    age between 34 and 78  ,633.0,3241,0.08352013331557934
