,prompt,completion,predicted_result,NRMSE
0,select avg(Selling_Price) from car_data where Year in ( '2012' ) and Seller_Type in ( 'Individual' ) and    Kms_Driven between 16665 and 486413  ,0.0,1,0.24363197155394517
1,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2012' ) and    Kms_Driven between 3022 and 319114  ,0.0,0,0.24363197155394517
2,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2006' ) and    Kms_Driven between 3022 and 319114  ,1.0,0,0.24363197155394517
3,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2013' ) and    Kms_Driven between 102841 and 178551  ,16.0,0,0.24363197155394517
4,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2014' ) and    Present_Price between 17 and 52  ,19.0,0,0.24363197155394517
5,select avg(Selling_Price) from car_data where Year in ( '2007' ) and Seller_Type in ( 'Individual' ) and    Kms_Driven between 44394 and 346271  ,0.0,0,0.24363197155394517
6,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2003' ) and    Kms_Driven between 74231 and 233655  ,0.0,0,0.24363197155394517
7,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2015' ) and    Kms_Driven between 3022 and 319114  ,0.0,1,0.24363197155394517
8,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2005' ) and    Kms_Driven between 3022 and 319114  ,1.0,0,0.24363197155394517
9,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2017' ) and    Present_Price between 13 and 68  ,22.0,0,0.24363197155394517
10,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2005' ) and    Kms_Driven between 149629 and 435114  ,3.0,0,0.24363197155394517
11,select avg(Selling_Price) from car_data where Year in ( '2017' ) and Seller_Type in ( 'Dealer' ) and    Present_Price between 10 and 23  ,15.0,0,0.24363197155394517
12,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2005' ) and    Kms_Driven between 43028 and 98783  ,3.0,3,0.24363197155394517
13,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2003' ) and    Present_Price between 3 and 26  ,2.0,0,0.24363197155394517
14,select avg(Selling_Price) from car_data where Year in ( '2004' ) and Seller_Type in ( 'Dealer' ) and    Present_Price between 2 and 86  ,1.0,0,0.24363197155394517
15,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2010' ) and    Kms_Driven between 211278 and 462544  ,0.0,0,0.24363197155394517
16,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2011' ) and    Kms_Driven between 43723 and 77765  ,0.0,0,0.24363197155394517
17,select avg(Selling_Price) from car_data where Year in ( '2006' ) and Seller_Type in ( 'Individual' ) and    Kms_Driven between 44394 and 346271  ,1.0,0,0.24363197155394517
18,select avg(Selling_Price) from car_data where Year in ( '2015' ) and Seller_Type in ( 'Dealer' ) and    Present_Price between 10 and 16  ,8.0,0,0.24363197155394517
19,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2015' ) and    Present_Price between 13 and 68  ,12.0,0,0.24363197155394517
20,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2016' ) and    Present_Price between 3 and 26  ,7.0,0,0.24363197155394517
21,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2007' ) and    Kms_Driven between 43028 and 98783  ,0.0,0,0.24363197155394517
22,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2012' ) and    Kms_Driven between 43723 and 77765  ,0.0,0,0.24363197155394517
23,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2010' ) and    Present_Price between 15 and 82  ,7.0,0,0.24363197155394517
24,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2011' ) and    Kms_Driven between 72868 and 345609  ,4.0,0,0.24363197155394517
25,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2012' ) and    Kms_Driven between 36592 and 93452  ,5.0,0,0.24363197155394517
26,select avg(Selling_Price) from car_data where Year in ( '2010' ) and Seller_Type in ( 'Individual' ) and    Kms_Driven between 16665 and 486413  ,0.0,0,0.24363197155394517
27,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2006' ) and    Kms_Driven between 102841 and 178551  ,2.0,0,0.24363197155394517
28,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2004' ) and    Present_Price between 5 and 24  ,1.0,0,0.24363197155394517
29,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2014' ) and    Present_Price between 13 and 68  ,12.0,0,0.24363197155394517
30,select avg(Selling_Price) from car_data where Year in ( '2004' ) and Seller_Type in ( 'Dealer' ) and    Kms_Driven between 95427 and 186238  ,1.0,0,0.24363197155394517
31,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2014' ) and    Kms_Driven between 43028 and 98783  ,6.0,0,0.24363197155394517
32,select avg(Selling_Price) from car_data where Year in ( '2010' ) and Seller_Type in ( 'Individual' ) and    Kms_Driven between 31132 and 430017  ,0.0,0,0.24363197155394517
33,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2012' ) and    Kms_Driven between 36592 and 93452  ,0.0,0,0.24363197155394517
34,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2006' ) and    Present_Price between 5 and 24  ,2.0,19,0.24363197155394517
35,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2016' ) and    Kms_Driven between 36592 and 93452  ,0.0,0,0.24363197155394517
36,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2011' ) and    Kms_Driven between 36592 and 93452  ,0.0,0,0.24363197155394517
37,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2010' ) and    Present_Price between 3 and 26  ,4.0,0,0.24363197155394517
38,select avg(Selling_Price) from car_data where Seller_Type in ( 'Individual' ) and Year in ( '2005' ) and    Kms_Driven between 87372 and 418892  ,2.0,0,0.24363197155394517
39,select avg(Selling_Price) from car_data where Year in ( '2005' ) and Seller_Type in ( 'Dealer' ) and    Kms_Driven between 155141 and 395431  ,3.0,0,0.24363197155394517
40,select avg(Selling_Price) from car_data where Seller_Type in ( 'Dealer' ) and Year in ( '2012' ) and    Present_Price between 15 and 82  ,11.0,0,0.24363197155394517
