,prompt,completion,predicted_result,NRMSE
0,select avg(candidatevotes) from elections where party_detailed in ( 'NEW_ALLIANCE' ) and state in ( 'NEW_YORK' ) and    state_fips between 33 and 56  ,13581.0,1503,0.06966017515698017
1,select avg(candidatevotes) from elections where state in ( 'LOUISIANA' ) and party_detailed in ( 'AMERICAN_INDEPENDENT_PARTY' ) and    state_fips between 15 and 26  ,10195.0,10,0.06966017515698017
2,select avg(candidatevotes) from elections where party_detailed in ( 'LIBERTARIAN' ) and state in ( 'CONNECTICUT' ) and    year between 1979 and 2000  ,7460.0,4172,0.06966017515698017
3,select avg(candidatevotes) from elections where party_detailed in ( 'INDEPENDENT' ) and state in ( 'RHODE_ISLAND' ) and    year between 1992 and 2004  ,105045.0,20576,0.06966017515698017
4,select avg(candidatevotes) from elections where state in ( 'MISSOURI' ) and party_detailed in ( 'GREEN' ) and    state_cen between 11 and 75  ,24072.0,48,0.06966017515698017
5,select avg(candidatevotes) from elections where party_detailed in ( 'SOCIALIST_WORKERS' ) and state in ( 'ARIZONA' ) and    year between 1978 and 1989  ,1100.0,6229,0.06966017515698017
6,select avg(candidatevotes) from elections where state in ( 'SOUTH_DAKOTA' ) and party_detailed in ( 'SOCIALIST_WORKERS' ) and    state_cen between 21 and 79  ,251.0,9055,0.06966017515698017
7,select avg(candidatevotes) from elections where state in ( 'NEW_MEXICO' ) and party_detailed in ( 'U.S._TAXPAYERS_PARTY' ) and    state_cen between 63 and 90  ,713.0,1288,0.06966017515698017
8,select avg(candidatevotes) from elections where state in ( 'NEVADA' ) and party_detailed in ( 'NEW_ALLIANCE' ) and    year between 1978 and 2013  ,835.0,3777,0.06966017515698017
9,select avg(candidatevotes) from elections where party_detailed in ( 'None' ) and state in ( 'ARIZONA' ) and    state_fips between 1 and 22  ,784.0,178,0.06966017515698017
10,select avg(candidatevotes) from elections where party_detailed in ( 'COMMUNIST_PARTY_USE' ) and state in ( 'HAWAII' ) and    state_fips between 9 and 55  ,639.0,72,0.06966017515698017
11,select avg(candidatevotes) from elections where state in ( 'NEW_YORK' ) and party_detailed in ( 'CITIZENS' ) and    year between 1978 and 2013  ,23186.0,4582,0.06966017515698017
12,select avg(candidatevotes) from elections where party_detailed in ( 'REPUBLICAN' ) and state in ( 'GEORGIA' ) and    year between 1997 and 2019  ,1910105.0,3341,0.06966017515698017
13,select avg(candidatevotes) from elections where state in ( 'MICHIGAN' ) and party_detailed in ( 'DEMOCRAT' ) and    state_fips between 15 and 26  ,2132010.0,2975,0.06966017515698017
14,select avg(candidatevotes) from elections where party_detailed in ( 'RON_DANIELS_INDEPENDENT' ) and state in ( 'NEW_JERSEY' ) and    year between 1979 and 2000  ,1996.0,1016,0.06966017515698017
15,select avg(candidatevotes) from elections where party_detailed in ( 'REPUBLICAN' ) and state in ( 'ILLINOIS' ) and    year between 1978 and 2020  ,2165625.0,3292,0.06966017515698017
16,select avg(candidatevotes) from elections where state in ( 'NEW_JERSEY' ) and party_detailed in ( 'CITIZENS' ) and    state_cen between 11 and 75  ,4725.0,1268,0.06966017515698017
17,select avg(candidatevotes) from elections where state in ( 'WISCONSIN' ) and party_detailed in ( 'WORKERS_WORLD_PARTY' ) and    state_cen between 21 and 79  ,1770.0,3644,0.06966017515698017
18,select avg(candidatevotes) from elections where state in ( 'ARIZONA' ) and party_detailed in ( 'DEMOCRAT' ) and    year between 1985 and 2014  ,755595.0,3012,0.06966017515698017
19,select avg(candidatevotes) from elections where party_detailed in ( 'AMERICAN_INDEPENDENT_PARTY' ) and state in ( 'IDAHO' ) and    state_fips between 14 and 34  ,1057.0,4833,0.06966017515698017
20,select avg(candidatevotes) from elections where party_detailed in ( 'PROHIBITION' ) and state in ( 'KANSAS' ) and    state_cen between 43 and 81  ,1756.0,2227,0.06966017515698017
