,prompt,completion,predicted_result,NRMSE
0,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'formerly_smoked' ) and    age between 1 and 57  ,31.0,20,0.17576439256323134
1,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'Unknown' ) and    age between 61 and 71  ,30.0,30,0.17576439256323134
2,select avg(bmi) from healthcare_stroke where gender in ( 'Female' ) and smoking_status in ( 'formerly_smoked' ) and    age between 8 and 24  ,26.0,31,0.17576439256323134
3,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'never_smoked' ) and    avg_glucose_level between 126 and 268  ,31.0,30,0.17576439256323134
4,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'formerly_smoked' ) and    avg_glucose_level between 142 and 244  ,32.0,30,0.17576439256323134
5,select avg(bmi) from healthcare_stroke where smoking_status in ( 'formerly_smoked' ) and gender in ( 'Female' ) and    avg_glucose_level between 138 and 236  ,34.0,31,0.17576439256323134
6,select avg(bmi) from healthcare_stroke where smoking_status in ( 'never_smoked' ) and gender in ( 'Male' ) and    age between 0 and 15  ,24.0,38,0.17576439256323134
7,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'formerly_smoked' ) and    age between 38 and 76  ,32.0,27,0.17576439256323134
8,select avg(bmi) from healthcare_stroke where smoking_status in ( 'formerly_smoked' ) and gender in ( 'Male' ) and    age between 6 and 62  ,31.0,31,0.17576439256323134
9,select avg(bmi) from healthcare_stroke where gender in ( 'Other' ) and smoking_status in ( 'formerly_smoked' ) and    age between 1 and 57  ,22.0,30,0.17576439256323134
10,select avg(bmi) from healthcare_stroke where smoking_status in ( 'smokes' ) and gender in ( 'Female' ) and    age between 14 and 55  ,30.0,30,0.17576439256323134
11,select avg(bmi) from healthcare_stroke where smoking_status in ( 'smokes' ) and gender in ( 'Male' ) and    avg_glucose_level between 120 and 197  ,30.0,30,0.17576439256323134
12,select avg(bmi) from healthcare_stroke where smoking_status in ( 'smokes' ) and gender in ( 'Female' ) and    avg_glucose_level between 78 and 268  ,30.0,30,0.17576439256323134
13,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'formerly_smoked' ) and    avg_glucose_level between 141 and 236  ,32.0,30,0.17576439256323134
14,select avg(bmi) from healthcare_stroke where smoking_status in ( 'never_smoked' ) and gender in ( 'Male' ) and    avg_glucose_level between 101 and 201  ,29.0,31,0.17576439256323134
15,select avg(bmi) from healthcare_stroke where smoking_status in ( 'smokes' ) and gender in ( 'Male' ) and    avg_glucose_level between 71 and 270  ,30.0,37,0.17576439256323134
16,select avg(bmi) from healthcare_stroke where gender in ( 'Male' ) and smoking_status in ( 'smokes' ) and    age between 8 and 24  ,26.0,30,0.17576439256323134
17,select avg(bmi) from healthcare_stroke where gender in ( 'Female' ) and smoking_status in ( 'formerly_smoked' ) and    age between 70 and 79  ,29.0,30,0.17576439256323134
