,prompt,completion,predicted_result,NRMSE
0,select avg(total_price) from pizza where pizza_name_id in ( 'pepperoni_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 15 and 27  ,15.0,16,0.21714771950487485
1,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 17 and 28  ,20.0,20,0.21714771950487485
2,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 27  ,12.0,12,0.21714771950487485
3,select avg(total_price) from pizza where pizza_name_id in ( 'green_garden_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 27  ,12.0,12,0.21714771950487485
4,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'bbq_ckn_s' ) and    unit_price between 10 and 21  ,12.0,10,0.21714771950487485
5,select avg(total_price) from pizza where pizza_name_id in ( 'pepperoni_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,12.0,12,0.21714771950487485
6,select avg(total_price) from pizza where pizza_name_id in ( 'ckn_alfredo_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 20  ,16.0,15,0.21714771950487485
7,select avg(total_price) from pizza where pizza_name_id in ( 'sicilian_s' ) and pizza_size in ( 'S' ) and    unit_price between 12 and 32  ,12.0,12,0.21714771950487485
8,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'M' ) and    unit_price between 15 and 33  ,16.0,16,0.21714771950487485
9,select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_l' ) and pizza_size in ( 'L' ) and    unit_price between 12 and 32  ,21.0,16,0.21714771950487485
10,select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'calabrese_s' ) and    unit_price between 11 and 16  ,12.0,16,0.21714771950487485
11,select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_size in ( 'L' ) and    unit_price between 10 and 26  ,21.0,21,0.21714771950487485
12,select avg(total_price) from pizza where pizza_name_id in ( 'calabrese_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 28  ,20.0,20,0.21714771950487485
13,select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 31  ,16.0,16,0.21714771950487485
14,select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 27  ,21.0,20,0.21714771950487485
15,select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,20.0,20,0.21714771950487485
16,select avg(total_price) from pizza where pizza_name_id in ( 'veggie_veg_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0,12,0.21714771950487485
17,select avg(total_price) from pizza where pizza_name_id in ( 'cali_ckn_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0,21,0.21714771950487485
18,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'spinach_fet_s' ) and    unit_price between 11 and 12  ,12.0,12,0.21714771950487485
19,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_size in ( 'L' ) and    unit_price between 12 and 32  ,20.0,21,0.21714771950487485
20,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'spinach_supr_s' ) and    unit_price between 12 and 13  ,12.0,12,0.21714771950487485
21,select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'ital_veggie_m' ) and    unit_price between 15 and 18  ,16.0,16,0.21714771950487485
22,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 14 and 25  ,20.0,16,0.21714771950487485
23,select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'ital_cpcllo_m' ) and    unit_price between 14 and 18  ,16.0,16,0.21714771950487485
24,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'brie_carre_s' ) and    unit_price between 21 and 30  ,24.0,21,0.21714771950487485
25,select avg(total_price) from pizza where pizza_name_id in ( 'brie_carre_s' ) and pizza_category in ( 'Supreme' ) and    unit_price between 22 and 29  ,24.0,20,0.21714771950487485
26,select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 15 and 27  ,16.0,15,0.21714771950487485
27,select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 14 and 25  ,21.0,16,0.21714771950487485
28,select avg(total_price) from pizza where pizza_name_id in ( 'soppressata_m' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 35  ,16.0,16,0.21714771950487485
29,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_xl' ) and pizza_size in ( 'XL' ) and    unit_price between 16 and 33  ,25.0,16,0.21714771950487485
30,select avg(total_price) from pizza where pizza_name_id in ( 'four_cheese_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 21  ,14.0,12,0.21714771950487485
31,select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 33  ,14.0,16,0.21714771950487485
32,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_supr_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 16 and 23  ,16.0,16,0.21714771950487485
33,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'ital_veggie_l' ) and    unit_price between 21 and 30  ,21.0,20,0.21714771950487485
34,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'peppr_salami_l' ) and    unit_price between 19 and 33  ,21.0,20,0.21714771950487485
35,select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_m' ) and pizza_size in ( 'M' ) and    unit_price between 14 and 32  ,16.0,16,0.21714771950487485
36,select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 14 and 20  ,16.0,16,0.21714771950487485
37,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 21  ,16.0,16,0.21714771950487485
38,select avg(total_price) from pizza where pizza_name_id in ( 'hawaiian_l' ) and pizza_size in ( 'L' ) and    unit_price between 10 and 26  ,16.0,16,0.21714771950487485
39,select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 35  ,21.0,16,0.21714771950487485
40,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 26  ,17.0,12,0.21714771950487485
41,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'the_greek_m' ) and    unit_price between 11 and 16  ,16.0,12,0.21714771950487485
42,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 16 and 23  ,17.0,16,0.21714771950487485
43,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 16 and 23  ,21.0,16,0.21714771950487485
44,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 15 and 27  ,16.0,16,0.21714771950487485
45,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 34  ,12.0,12,0.21714771950487485
46,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'spin_pesto_l' ) and    unit_price between 19 and 33  ,21.0,21,0.21714771950487485
47,select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 20  ,16.0,16,0.21714771950487485
48,select avg(total_price) from pizza where pizza_name_id in ( 'bbq_ckn_m' ) and pizza_size in ( 'M' ) and    unit_price between 14 and 32  ,17.0,16,0.21714771950487485
49,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'bbq_ckn_l' ) and    unit_price between 17 and 30  ,21.0,16,0.21714771950487485
50,select avg(total_price) from pizza where pizza_name_id in ( 'ital_veggie_l' ) and pizza_size in ( 'L' ) and    unit_price between 11 and 27  ,21.0,13,0.21714771950487485
51,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'XL' ) and    unit_price between 18 and 27  ,25.0,16,0.21714771950487485
52,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'mexicana_l' ) and    unit_price between 10 and 21  ,20.0,21,0.21714771950487485
53,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 26  ,16.0,12,0.21714771950487485
54,select avg(total_price) from pizza where pizza_name_id in ( 'sicilian_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0,16,0.21714771950487485
55,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 20 and 27  ,20.0,21,0.21714771950487485
56,select avg(total_price) from pizza where pizza_category in ( 'Chicken' ) and pizza_name_id in ( 'ckn_pesto_s' ) and    unit_price between 11 and 16  ,12.0,16,0.21714771950487485
57,select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'veggie_veg_m' ) and    unit_price between 9 and 16  ,16.0,16,0.21714771950487485
58,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_xl' ) and pizza_category in ( 'Classic' ) and    unit_price between 24 and 33  ,25.0,21,0.21714771950487485
59,select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 9 and 29  ,21.0,16,0.21714771950487485
60,select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 15 and 26  ,16.0,16,0.21714771950487485
61,select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'sicilian_l' ) and    unit_price between 19 and 24  ,20.0,16,0.21714771950487485
62,select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 9 and 29  ,20.0,16,0.21714771950487485
63,select avg(total_price) from pizza where pizza_name_id in ( 'ital_veggie_m' ) and pizza_size in ( 'M' ) and    unit_price between 14 and 32  ,16.0,16,0.21714771950487485
64,select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'thai_ckn_m' ) and    unit_price between 16 and 31  ,16.0,16,0.21714771950487485
65,select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,21.0,21,0.21714771950487485
66,select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 27  ,12.0,16,0.21714771950487485
67,select avg(total_price) from pizza where pizza_name_id in ( 'classic_dlx_m' ) and pizza_size in ( 'M' ) and    unit_price between 14 and 16  ,16.0,16,0.21714771950487485
68,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_category in ( 'Veggie' ) and    unit_price between 18 and 28  ,20.0,20,0.21714771950487485
69,select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'mediterraneo_s' ) and    unit_price between 11 and 16  ,12.0,12,0.21714771950487485
70,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 25  ,21.0,16,0.21714771950487485
71,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 31  ,16.0,16,0.21714771950487485
72,select avg(total_price) from pizza where pizza_name_id in ( 'four_cheese_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 9 and 29  ,14.0,20,0.21714771950487485
73,select avg(total_price) from pizza where pizza_name_id in ( 'soppressata_l' ) and pizza_size in ( 'L' ) and    unit_price between 11 and 27  ,20.0,20,0.21714771950487485
74,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_category in ( 'Classic' ) and    unit_price between 18 and 28  ,20.0,16,0.21714771950487485
75,select avg(total_price) from pizza where pizza_name_id in ( 'mediterraneo_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 15 and 26  ,20.0,16,0.21714771950487485
76,select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'napolitana_l' ) and    unit_price between 19 and 31  ,20.0,21,0.21714771950487485
77,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'brie_carre_s' ) and    unit_price between 16 and 31  ,24.0,16,0.21714771950487485
78,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'ital_cpcllo_m' ) and    unit_price between 13 and 21  ,16.0,12,0.21714771950487485
79,select avg(total_price) from pizza where pizza_category in ( 'Chicken' ) and pizza_name_id in ( 'thai_ckn_s' ) and    unit_price between 10 and 13  ,12.0,11,0.21714771950487485
80,select avg(total_price) from pizza where pizza_name_id in ( 'bbq_ckn_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 16 and 23  ,21.0,16,0.21714771950487485
81,select avg(total_price) from pizza where pizza_name_id in ( 'cali_ckn_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 15 and 27  ,21.0,16,0.21714771950487485
82,select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_m' ) and pizza_size in ( 'M' ) and    unit_price between 11 and 34  ,17.0,12,0.21714771950487485
83,select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'peppr_salami_s' ) and    unit_price between 11 and 16  ,12.0,16,0.21714771950487485
84,select avg(total_price) from pizza where pizza_name_id in ( 'ital_veggie_l' ) and pizza_size in ( 'L' ) and    unit_price between 12 and 32  ,21.0,16,0.21714771950487485
85,select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'spinach_fet_s' ) and    unit_price between 10 and 21  ,12.0,12,0.21714771950487485
86,select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_size in ( 'L' ) and    unit_price between 20 and 31  ,20.0,16,0.21714771950487485
87,select avg(total_price) from pizza where pizza_name_id in ( 'ckn_pesto_l' ) and pizza_size in ( 'L' ) and    unit_price between 10 and 26  ,21.0,17,0.21714771950487485
88,select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'M' ) and    unit_price between 15 and 32  ,16.0,16,0.21714771950487485
89,select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_m' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 33  ,16.0,16,0.21714771950487485
90,select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'mediterraneo_s' ) and    unit_price between 9 and 16  ,12.0,16,0.21714771950487485
91,select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 15 and 26  ,16.0,16,0.21714771950487485
92,select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_m' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 35  ,16.0,16,0.21714771950487485
