,prompt,completion,predicted_result,NRMSE
0,select avg(Income) from toy where Illness in ( 'No' ) and Gender in ( 'Male' ) and    Age between 31 and 60  ,95632.0,89765,85.3708666287325
1,select avg(Income) from toy where City in ( 'Los_Angeles' ) and Gender in ( 'Male' ) and    Age between 29 and 47  ,99617.0,85521,85.3708666287325
2,select avg(Income) from toy where Illness in ( 'No' ) and Gender in ( 'Male' ) and    Age between 30 and 45  ,95701.0,95405,85.3708666287325
3,select avg(Income) from toy where Illness in ( 'Yes' ) and Gender in ( 'Male' ) and    Age between 40 and 56  ,95652.0,89519,85.3708666287325
4,select avg(Income) from toy where City in ( 'Dallas' ) and Illness in ( 'No' ) and    Age between 35 and 50  ,45279.0,94561,85.3708666287325
5,select avg(Income) from toy where Gender in ( 'Male' ) and City in ( 'Los_Angeles' ) and    Age between 41 and 59  ,99535.0,95185,85.3708666287325
6,select avg(Income) from toy where Gender in ( 'Female' ) and City in ( 'Mountain_View' ) and    Age between 29 and 48  ,129375.0,64807,85.3708666287325
7,select avg(Income) from toy where City in ( 'Mountain_View' ) and Illness in ( 'Yes' ) and    Age between 29 and 34  ,135270.0,90635,85.3708666287325
8,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'New_York_City' ) and    Age between 48 and 65  ,96799.0,95730,85.3708666287325
9,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Los_Angeles' ) and    Age between 30 and 55  ,95234.0,99318,85.3708666287325
10,select avg(Income) from toy where Gender in ( 'Male' ) and City in ( 'New_York_City' ) and    Age between 41 and 59  ,101217.0,89924,85.3708666287325
11,select avg(Income) from toy where Gender in ( 'Female' ) and City in ( 'Washington_D.C.' ) and    Age between 31 and 32  ,66160.0,75334,85.3708666287325
12,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'Austin' ) and    Age between 48 and 64  ,89741.0,142,85.3708666287325
13,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'Mountain_View' ) and    Age between 50 and 51  ,137689.0,90261,85.3708666287325
14,select avg(Income) from toy where City in ( 'San_Diego' ) and Illness in ( 'No' ) and    Age between 32 and 62  ,100527.0,96542,85.3708666287325
15,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Dallas' ) and    Age between 31 and 34  ,44758.0,35008,85.3708666287325
16,select avg(Income) from toy where City in ( 'Dallas' ) and Gender in ( 'Female' ) and    Age between 44 and 60  ,39697.0,95975,85.3708666287325
17,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'Austin' ) and    Age between 33 and 41  ,91210.0,95745,85.3708666287325
18,select avg(Income) from toy where City in ( 'Dallas' ) and Illness in ( 'Yes' ) and    Age between 30 and 57  ,45012.0,90584,85.3708666287325
19,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Washington_D.C.' ) and    Age between 48 and 64  ,70746.0,96124,85.3708666287325
20,select avg(Income) from toy where Gender in ( 'Male' ) and City in ( 'Austin' ) and    Age between 28 and 46  ,94330.0,85458,85.3708666287325
21,select avg(Income) from toy where Gender in ( 'Female' ) and City in ( 'Washington_D.C.' ) and    Age between 40 and 63  ,65389.0,40218,85.3708666287325
22,select avg(Income) from toy where City in ( 'Washington_D.C.' ) and Gender in ( 'Female' ) and    Age between 30 and 46  ,65494.0,95896,85.3708666287325
23,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'New_York_City' ) and    Age between 27 and 43  ,97478.0,91456,85.3708666287325
24,select avg(Income) from toy where City in ( 'New_York_City' ) and Gender in ( 'Male' ) and    Age between 44 and 60  ,101226.0,95923,85.3708666287325
25,select avg(Income) from toy where Illness in ( 'No' ) and Gender in ( 'Female' ) and    Age between 33 and 46  ,85585.0,95063,85.3708666287325
26,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Austin' ) and    Age between 63 and 65  ,89894.0,105,85.3708666287325
27,select avg(Income) from toy where Illness in ( 'Yes' ) and Gender in ( 'Female' ) and    Age between 36 and 62  ,85692.0,69421,85.3708666287325
28,select avg(Income) from toy where Illness in ( 'Yes' ) and Gender in ( 'Female' ) and    Age between 40 and 56  ,85985.0,104504,85.3708666287325
29,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Washington_D.C.' ) and    Age between 35 and 64  ,70989.0,95118,85.3708666287325
30,select avg(Income) from toy where City in ( 'San_Diego' ) and Gender in ( 'Male' ) and    Age between 32 and 38  ,105783.0,100552,85.3708666287325
31,select avg(Income) from toy where Illness in ( 'No' ) and City in ( 'Mountain_View' ) and    Age between 31 and 34  ,135431.0,114,85.3708666287325
32,select avg(Income) from toy where City in ( 'New_York_City' ) and Gender in ( 'Female' ) and    Age between 44 and 60  ,91179.0,55799,85.3708666287325
33,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'Boston' ) and    Age between 35 and 64  ,91863.0,95298,85.3708666287325
34,select avg(Income) from toy where City in ( 'Washington_D.C.' ) and Gender in ( 'Male' ) and    Age between 44 and 54  ,75724.0,50919,85.3708666287325
35,select avg(Income) from toy where Illness in ( 'Yes' ) and City in ( 'Los_Angeles' ) and    Age between 40 and 59  ,94757.0,95219,85.3708666287325
